Radar Type,Detection Type,Missile Type,Aircraft Type,Drone Type,Threat Level,Altitude,Speed,Distance From Target,Heading,Radar Signature,Detection Status,Target Class
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,4256.91,1125.7,197.95,180.98,0.18,1,Fixed-Wing
Short-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,High,11009.27,1123.72,438.1,127.69,0.96,0,None
Medium-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,17069.33,1210.27,63.91,299.15,0.33,1,Surface-to-Air Missile
Short-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,Medium,7066.03,754.48,431.65,190.81,0.11,1,Fixed-Wing
Long-Range,Active,Ballistic Missile,Bombers,Quadcopter,High,13708.75,1054.23,86.62,171.39,0.02,1,Ballistic Missile
Medium-Range,Hybrid,Cruise Missile,Drones,Quadcopter,Low,17639.88,1385.61,279.95,322.27,0.61,1,Quadcopter
Short-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,Medium,19303.51,1399.77,314.74,319.57,0.49,1,Surface-to-Air Missile
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,High,19587.19,512.6,425.64,9.86,0.36,1,Fighter Jet
Medium-Range,Active,Ballistic Missile,Fighter Jet,Hybrid Drone,High,16571.57,806.11,278.16,2.43,0.66,1,Hybrid Drone
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Fixed-Wing,Medium,3335.87,345.93,480.86,111.01,0.36,1,Fixed-Wing
Short-Range,Hybrid,Anti-Air Missile,Fighter Jet,Quadcopter,Low,8760.95,489.99,378.13,225.57,0.56,1,Anti-Air Missile
Long-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Medium,11651.61,417.98,264.55,119.53,0.7,1,Quadcopter
Short-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,High,17802.77,648.47,118.94,179.97,0.27,1,Ballistic Missile
Long-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Low,2780.7,1385.16,128.12,352.03,0.41,1,Fixed-Wing
Long-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,Medium,732.49,1172.51,158.97,195.99,0.62,1,Surface-to-Air Missile
Medium-Range,Hybrid,Cruise Missile,Fighter Jet,Fixed-Wing,Low,10023.67,872.71,425.67,265.47,0.35,1,Fighter Jet
Long-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Medium,8086.57,1438.25,382.3,193.96,0.66,1,Anti-Air Missile
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,13768.44,1476.24,169.89,218.62,0.56,1,Passenger Aircraft
Short-Range,Passive,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,High,19559.81,1352.76,364.29,165.04,0.59,1,Fighter Jet
Long-Range,Hybrid,Ballistic Missile,Drones,Quadcopter,Low,9842.66,373.88,219.53,279.59,0.17,0,None
Short-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Medium,18323.96,824.01,64.89,232.62,0.29,1,Surface-to-Air Missile
Long-Range,Active,Cruise Missile,Bombers,Fixed-Wing,Medium,17447.79,532.54,482.83,225.55,0.71,0,None
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,High,7374.73,452.13,393.05,343.89,1.0,1,Cruise Missile
Long-Range,Passive,Anti-Air Missile,Bombers,Quadcopter,Low,18752.19,1130.4,415.82,113.81,0.85,1,Anti-Air Missile
Long-Range,Passive,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,1956.27,791.82,98.7,172.05,0.05,0,None
Long-Range,Active,Ballistic Missile,Bombers,Hybrid Drone,High,12541.02,1498.3,473.62,357.59,0.91,1,Hybrid Drone
Medium-Range,Hybrid,Surface-to-Air Missile,Bombers,Hybrid Drone,High,8373.98,1479.56,237.78,108.9,0.14,1,Hybrid Drone
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,764.41,1226.56,455.5,169.69,0.16,1,Ballistic Missile
Medium-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,Low,8336.98,418.2,73.19,258.86,0.53,1,Hybrid Drone
Medium-Range,Active,Surface-to-Air Missile,Drones,Hybrid Drone,High,16604.86,1381.92,251.43,296.06,0.55,1,Drones
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,13142.56,342.4,77.71,330.92,0.71,1,Fighter Jet
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,2003.0,705.39,264.19,130.58,0.62,0,None
Short-Range,Active,Cruise Missile,Fighter Jet,Hybrid Drone,Low,13202.96,355.19,147.25,323.74,0.93,1,Cruise Missile
Medium-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,Medium,11896.87,854.6,264.56,246.1,0.23,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,3872.44,568.39,241.96,103.34,0.48,1,Quadcopter
Short-Range,Passive,Cruise Missile,Bombers,Quadcopter,Low,3817.53,792.47,50.44,112.09,0.69,0,None
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,16128.11,554.62,388.17,223.08,0.6,1,Fighter Jet
Medium-Range,Passive,Cruise Missile,Bombers,Quadcopter,Medium,10585.9,1192.31,117.24,208.45,0.17,1,Quadcopter
Short-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Low,4835.75,748.86,268.64,147.8,0.65,1,Hybrid Drone
Long-Range,Active,Anti-Air Missile,Bombers,Quadcopter,Medium,16189.69,289.25,122.45,338.19,0.87,0,None
Long-Range,Hybrid,Anti-Air Missile,Drones,Quadcopter,Low,6624.17,440.24,483.66,338.42,0.88,0,None
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,High,8314.93,1068.35,472.75,184.59,0.53,1,Fixed-Wing
Medium-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,16529.04,201.42,396.5,259.49,0.41,0,None
Short-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Medium,16784.9,1382.49,79.66,4.2,0.41,1,Drones
Medium-Range,Passive,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Low,15532.92,1083.01,122.48,107.4,0.68,0,None
Medium-Range,Passive,Ballistic Missile,Drones,Fixed-Wing,Low,2756.59,1337.05,498.12,0.73,0.15,1,Fixed-Wing
Long-Range,Hybrid,Cruise Missile,Fighter Jet,Fixed-Wing,Low,2265.1,656.34,159.97,357.06,0.97,1,Fixed-Wing
Medium-Range,Active,Ballistic Missile,Helicopter,Fixed-Wing,Low,17571.16,665.69,369.01,338.52,0.13,0,None
Long-Range,Hybrid,Ballistic Missile,Drones,Hybrid Drone,High,18698.45,471.01,273.99,333.03,0.13,1,Drones
Medium-Range,Active,Cruise Missile,Helicopter,Quadcopter,Medium,18419.42,937.64,126.28,177.42,0.06,1,Quadcopter
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,7369.49,1381.39,468.61,321.59,0.39,1,Passenger Aircraft
Short-Range,Active,Cruise Missile,Drones,Quadcopter,High,19625.73,1146.66,380.82,197.04,0.83,1,Drones
Medium-Range,Hybrid,Cruise Missile,Drones,Quadcopter,Medium,13092.92,1414.53,460.81,65.51,0.84,1,Cruise Missile
Long-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,Medium,9773.7,1291.06,194.07,140.24,0.19,0,None
Medium-Range,Passive,Anti-Air Missile,Bombers,Hybrid Drone,Low,8895.58,253.02,145.38,25.15,0.28,1,Hybrid Drone
Long-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,8912.75,363.37,464.42,13.14,0.82,1,Cruise Missile
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,3563.99,235.79,99.46,248.12,0.17,1,Ballistic Missile
Short-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Low,17760.63,1434.29,304.68,73.59,0.0,1,Quadcopter
Short-Range,Hybrid,Ballistic Missile,Drones,Quadcopter,Medium,6529.87,1106.23,282.27,339.81,0.27,0,None
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,16805.48,539.01,463.5,116.2,0.7,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,3051.88,567.84,151.61,260.6,0.92,1,Hybrid Drone
Short-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Medium,14793.41,904.74,382.46,187.96,0.32,0,None
Medium-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Quadcopter,High,19579.79,203.81,260.28,349.11,0.9,0,None
Short-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,13561.52,221.53,156.26,34.95,0.62,1,Hybrid Drone
Short-Range,Hybrid,Cruise Missile,Drones,Fixed-Wing,High,1887.24,1361.05,335.86,138.54,0.37,1,Drones
Long-Range,Active,Cruise Missile,Bombers,Hybrid Drone,Medium,13476.38,931.33,233.97,349.45,0.66,1,Hybrid Drone
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,8442.11,260.42,367.09,127.7,0.73,1,Quadcopter
Medium-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Low,9001.9,1188.79,340.45,342.19,0.58,1,Fixed-Wing
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,High,9067.12,215.11,51.84,344.39,0.91,1,Fixed-Wing
Medium-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Medium,3715.15,294.5,194.1,7.21,0.76,1,Surface-to-Air Missile
Short-Range,Active,Anti-Air Missile,Fighter Jet,Quadcopter,High,12424.31,530.14,496.38,352.37,0.71,1,Anti-Air Missile
Short-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Low,3792.98,633.59,378.1,271.71,0.15,0,None
Medium-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,High,5179.59,1362.46,166.92,293.05,0.97,1,Helicopter
Long-Range,Hybrid,Anti-Air Missile,Drones,Fixed-Wing,Low,17487.35,735.68,272.14,161.97,0.27,1,Drones
Long-Range,Active,Cruise Missile,Drones,Fixed-Wing,High,5009.5,1165.89,387.45,133.53,0.93,1,Drones
Long-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,High,3047.76,253.58,436.78,295.46,0.64,0,None
Long-Range,Hybrid,Cruise Missile,Bombers,Quadcopter,High,18621.06,1420.01,403.12,207.99,0.02,1,Quadcopter
Short-Range,Active,Cruise Missile,Drones,Fixed-Wing,High,3863.9,453.99,87.73,288.56,0.64,1,Cruise Missile
Short-Range,Active,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,9582.8,518.08,183.92,222.54,0.56,1,Anti-Air Missile
Short-Range,Hybrid,Ballistic Missile,Drones,Fixed-Wing,High,1071.5,923.24,195.63,291.08,0.15,1,Ballistic Missile
Medium-Range,Hybrid,Cruise Missile,Fighter Jet,Hybrid Drone,Medium,7767.66,1327.23,123.88,350.35,0.05,1,Hybrid Drone
Short-Range,Active,Cruise Missile,Drones,Hybrid Drone,Low,7212.23,433.74,300.24,76.3,0.58,1,Cruise Missile
Long-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,10262.39,898.86,174.23,214.17,0.46,1,Hybrid Drone
Short-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,Medium,8223.21,224.05,339.5,354.13,0.91,1,Hybrid Drone
Short-Range,Active,Cruise Missile,Helicopter,Quadcopter,High,9288.01,1422.69,346.21,351.23,0.34,1,Cruise Missile
Long-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,High,12249.11,753.93,347.26,67.59,0.98,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Helicopter,Quadcopter,High,14933.61,361.11,437.34,14.27,0.01,1,Quadcopter
Short-Range,Passive,Anti-Air Missile,Drones,Quadcopter,Medium,7830.02,1055.28,498.99,34.16,0.65,1,Quadcopter
Medium-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Medium,7297.44,1194.67,201.19,31.24,0.58,0,None
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Low,1294.4,610.52,216.16,233.1,0.89,1,Fixed-Wing
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Quadcopter,High,10624.62,586.13,446.85,63.11,0.35,1,Fighter Jet
Medium-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Medium,16845.17,1479.87,483.36,315.15,0.4,1,Anti-Air Missile
Medium-Range,Hybrid,Ballistic Missile,Drones,Hybrid Drone,High,1693.6,1424.17,72.35,72.12,0.1,1,Drones
Short-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,High,14944.15,544.47,125.97,86.36,0.91,1,Surface-to-Air Missile
Medium-Range,Passive,Cruise Missile,Bombers,Fixed-Wing,High,6077.46,1355.22,212.02,219.31,0.81,1,Cruise Missile
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Hybrid Drone,High,16285.82,409.81,369.61,85.35,0.52,1,Passenger Aircraft
Long-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,High,7817.84,1361.58,477.9,314.28,0.13,1,Cruise Missile
Short-Range,Passive,Anti-Air Missile,Bombers,Hybrid Drone,Medium,4687.72,1327.25,386.51,289.64,0.45,0,None
Medium-Range,Hybrid,Ballistic Missile,Fighter Jet,Quadcopter,Medium,9699.94,1050.53,457.49,63.7,0.02,1,Quadcopter
Medium-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,3940.81,682.27,442.69,66.65,0.47,1,Ballistic Missile
Long-Range,Hybrid,Cruise Missile,Helicopter,Quadcopter,High,6421.55,988.34,67.0,205.33,0.37,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,18383.65,1073.27,358.04,353.67,0.61,1,Helicopter
Short-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Low,18059.44,902.19,220.86,220.26,0.3,0,None
Short-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,Medium,14604.89,640.75,213.61,90.73,0.39,1,Hybrid Drone
Short-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,4831.3,353.5,167.26,320.74,0.82,0,None
Short-Range,Active,Cruise Missile,Helicopter,Fixed-Wing,High,4520.97,1358.41,350.2,105.09,0.42,1,Cruise Missile
Medium-Range,Active,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,2001.55,760.84,194.36,288.25,0.75,1,Passenger Aircraft
Long-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,Medium,3093.53,368.05,439.1,251.52,0.62,1,Ballistic Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Quadcopter,Low,14217.16,846.57,53.21,99.56,0.48,1,Quadcopter
Medium-Range,Passive,Cruise Missile,Helicopter,Hybrid Drone,Low,17581.31,701.25,101.77,89.63,0.56,1,Helicopter
Long-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,High,11760.44,480.01,297.42,193.11,0.79,0,None
Short-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,High,8929.87,797.24,60.85,65.63,0.98,1,Helicopter
Long-Range,Hybrid,Anti-Air Missile,Bombers,Fixed-Wing,High,10032.86,1139.93,336.61,280.26,0.78,1,Bombers
Medium-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,High,10268.01,925.28,377.41,153.07,0.81,0,None
Short-Range,Passive,Anti-Air Missile,Helicopter,Fixed-Wing,Medium,2177.78,1383.82,199.12,185.45,0.59,0,None
Medium-Range,Hybrid,Ballistic Missile,Helicopter,Fixed-Wing,Medium,13009.5,546.17,50.53,15.6,0.22,1,Helicopter
Long-Range,Passive,Ballistic Missile,Helicopter,Fixed-Wing,High,18498.34,279.69,217.89,76.18,0.47,1,Fixed-Wing
Long-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,16677.54,352.14,405.32,198.89,0.39,1,Ballistic Missile
Short-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Medium,1285.16,816.85,271.53,333.83,0.48,1,Cruise Missile
Long-Range,Active,Ballistic Missile,Drones,Fixed-Wing,Low,915.84,868.72,163.53,42.46,0.3,1,Drones
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Quadcopter,High,1348.18,1026.98,131.59,106.93,0.06,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,High,17159.64,476.5,450.6,113.98,0.8,1,Helicopter
Medium-Range,Passive,Surface-to-Air Missile,Drones,Fixed-Wing,High,3422.72,1001.69,108.92,294.29,0.36,1,Drones
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Quadcopter,Low,13803.36,1394.29,223.7,218.11,0.69,1,Ballistic Missile
Short-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Medium,11505.6,682.77,54.4,293.96,0.99,1,Anti-Air Missile
Long-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,8558.35,321.34,60.78,311.55,0.02,1,Ballistic Missile
Long-Range,Hybrid,Cruise Missile,Drones,Quadcopter,High,10298.0,572.3,432.95,0.73,0.6,1,Cruise Missile
Medium-Range,Hybrid,Cruise Missile,Fighter Jet,Fixed-Wing,Low,4821.8,539.29,337.18,252.81,0.11,1,Fixed-Wing
Medium-Range,Active,Cruise Missile,Drones,Quadcopter,Medium,10226.81,554.99,430.34,40.91,0.79,0,None
Medium-Range,Active,Ballistic Missile,Passenger Aircraft,Hybrid Drone,High,8327.56,947.45,310.03,3.41,0.37,0,None
Long-Range,Hybrid,Cruise Missile,Helicopter,Quadcopter,Low,18618.57,1225.17,61.46,127.9,0.62,1,Helicopter
Long-Range,Active,Cruise Missile,Bombers,Hybrid Drone,Low,16308.28,1340.65,121.31,117.84,0.04,1,Cruise Missile
Long-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,Low,3099.89,248.99,406.21,240.45,0.61,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Drones,Hybrid Drone,Low,12147.57,1461.7,265.32,279.49,0.79,1,Cruise Missile
Medium-Range,Active,Surface-to-Air Missile,Drones,Hybrid Drone,High,4336.08,533.99,158.39,346.53,0.07,1,Surface-to-Air Missile
Long-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,High,8333.91,862.07,91.6,29.14,0.11,1,Quadcopter
Long-Range,Hybrid,Cruise Missile,Drones,Fixed-Wing,High,5631.35,411.93,201.4,183.72,0.83,1,Fixed-Wing
Medium-Range,Hybrid,Anti-Air Missile,Helicopter,Quadcopter,Medium,2090.34,735.49,72.82,279.59,0.17,1,Anti-Air Missile
Medium-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Low,17660.2,382.47,177.42,246.3,0.75,1,Fighter Jet
Long-Range,Active,Ballistic Missile,Helicopter,Fixed-Wing,Medium,11922.57,1120.63,192.45,341.89,0.45,1,Ballistic Missile
Short-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,High,13074.99,386.46,122.84,318.01,0.86,0,None
Short-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,Medium,2168.9,394.03,216.05,134.44,0.12,1,Anti-Air Missile
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,High,552.57,407.52,204.87,77.45,0.54,0,None
Short-Range,Passive,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,2414.19,844.92,233.58,20.88,0.52,1,Quadcopter
Long-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,High,8379.45,673.61,293.78,194.92,0.65,1,Quadcopter
Short-Range,Active,Anti-Air Missile,Passenger Aircraft,Quadcopter,Medium,17236.74,1439.47,406.7,209.42,0.24,1,Passenger Aircraft
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,4068.67,1200.75,296.17,331.26,0.94,0,None
Short-Range,Active,Cruise Missile,Bombers,Hybrid Drone,Medium,19645.55,677.08,247.54,281.04,0.72,1,Bombers
Long-Range,Passive,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,16475.6,870.54,77.63,6.54,0.06,1,Fixed-Wing
Medium-Range,Passive,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,13794.07,804.23,495.68,19.02,0.09,1,Surface-to-Air Missile
Long-Range,Passive,Ballistic Missile,Bombers,Fixed-Wing,High,8466.95,1330.82,313.01,166.13,0.93,0,None
Long-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,9537.65,1103.35,316.08,258.49,0.71,1,Fighter Jet
Long-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Low,3496.7,1399.45,350.88,284.9,0.31,1,Bombers
Medium-Range,Active,Surface-to-Air Missile,Drones,Hybrid Drone,High,9941.01,858.11,95.96,340.24,0.6,1,Hybrid Drone
Short-Range,Passive,Surface-to-Air Missile,Drones,Fixed-Wing,Low,11290.49,1019.78,54.54,231.25,0.14,0,None
Short-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,Medium,8654.39,378.5,125.9,126.6,0.45,0,None
Long-Range,Hybrid,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,12373.93,1340.22,251.31,222.75,0.82,1,Fixed-Wing
Medium-Range,Hybrid,Surface-to-Air Missile,Drones,Hybrid Drone,Medium,14395.38,685.63,144.67,143.88,0.34,1,Drones
Long-Range,Passive,Surface-to-Air Missile,Drones,Fixed-Wing,Low,1596.02,1337.63,238.36,20.49,0.48,0,None
Long-Range,Passive,Ballistic Missile,Drones,Quadcopter,Low,10634.76,1270.56,443.78,57.11,0.29,1,Drones
Long-Range,Active,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,4813.05,1442.99,195.35,45.85,0.56,1,Helicopter
Long-Range,Passive,Anti-Air Missile,Bombers,Hybrid Drone,Medium,13138.43,678.92,319.42,317.08,0.14,1,Hybrid Drone
Long-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,Medium,19603.99,207.21,276.49,167.26,0.9,0,None
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,15044.94,1059.62,257.61,341.86,0.09,1,Fighter Jet
Short-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,High,15818.66,694.45,284.36,281.71,0.09,1,Passenger Aircraft
Long-Range,Passive,Ballistic Missile,Drones,Hybrid Drone,High,1647.19,1164.86,422.75,207.95,0.18,1,Ballistic Missile
Short-Range,Hybrid,Cruise Missile,Drones,Fixed-Wing,High,3339.8,849.38,492.59,258.25,0.5,0,None
Long-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,Low,10314.01,935.62,248.25,231.31,0.54,1,Surface-to-Air Missile
Medium-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,Low,1770.25,202.52,274.79,129.58,0.29,0,None
Medium-Range,Passive,Surface-to-Air Missile,Drones,Quadcopter,Low,8150.65,816.5,428.72,309.15,0.78,1,Surface-to-Air Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,Low,14369.01,814.86,424.51,113.56,0.67,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Drones,Quadcopter,Medium,10662.04,296.95,448.81,158.09,0.15,0,None
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,8376.71,1469.55,117.16,123.78,0.36,1,Passenger Aircraft
Long-Range,Passive,Anti-Air Missile,Drones,Quadcopter,Low,13964.68,721.45,223.74,56.2,0.06,1,Anti-Air Missile
Medium-Range,Active,Cruise Missile,Fighter Jet,Quadcopter,High,8735.16,1432.49,485.47,159.05,0.16,0,None
Short-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,Low,15018.53,1103.86,213.27,277.59,0.59,0,None
Long-Range,Hybrid,Ballistic Missile,Drones,Fixed-Wing,Low,8180.12,1406.44,96.86,340.48,0.67,1,Fixed-Wing
Short-Range,Passive,Cruise Missile,Bombers,Quadcopter,Medium,18171.04,1268.16,89.26,116.18,0.01,1,Bombers
Long-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,High,14734.28,1189.14,354.52,236.99,0.81,0,None
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,High,4526.35,243.56,316.78,35.75,0.37,1,Helicopter
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Quadcopter,High,12336.7,601.04,351.97,346.08,0.98,1,Fighter Jet
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,High,19918.44,501.66,221.43,99.74,0.3,1,Hybrid Drone
Medium-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,Low,12607.46,723.37,105.33,187.75,0.15,1,Fighter Jet
Medium-Range,Active,Anti-Air Missile,Drones,Quadcopter,Low,8841.19,1223.97,176.34,42.17,0.08,1,Quadcopter
Short-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Medium,8303.44,1326.4,234.23,122.24,0.05,1,Fighter Jet
Medium-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,16729.85,539.25,470.73,243.69,0.13,1,Anti-Air Missile
Long-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,710.64,535.28,300.47,64.92,0.26,1,Passenger Aircraft
Short-Range,Passive,Cruise Missile,Fighter Jet,Fixed-Wing,Medium,15159.02,356.53,147.17,75.39,0.96,0,None
Long-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,11428.58,374.65,132.7,111.93,0.14,1,Ballistic Missile
Long-Range,Active,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,14276.9,944.79,246.92,243.28,0.46,1,Ballistic Missile
Medium-Range,Passive,Surface-to-Air Missile,Drones,Fixed-Wing,High,1603.54,758.06,495.96,337.91,0.39,1,Surface-to-Air Missile
Long-Range,Passive,Anti-Air Missile,Fighter Jet,Quadcopter,High,9839.09,1277.89,388.11,195.5,0.13,1,Anti-Air Missile
Long-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,Medium,12758.19,303.94,460.46,117.62,0.31,1,Quadcopter
Long-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,Medium,11389.29,1401.12,463.9,65.57,0.79,0,None
Medium-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,Medium,13145.26,293.93,242.67,296.13,0.55,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Low,8032.9,1194.84,243.03,74.76,0.45,0,None
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,High,18130.74,1209.65,394.71,95.7,0.26,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,High,6620.5,454.94,176.85,221.73,0.07,1,Hybrid Drone
Short-Range,Active,Ballistic Missile,Passenger Aircraft,Quadcopter,High,13102.04,341.07,298.52,10.03,0.2,1,Ballistic Missile
Medium-Range,Passive,Anti-Air Missile,Bombers,Hybrid Drone,Medium,17992.99,1091.6,263.08,181.09,0.31,1,Anti-Air Missile
Long-Range,Active,Cruise Missile,Drones,Fixed-Wing,High,10898.88,699.79,181.05,143.47,0.91,1,Cruise Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Quadcopter,Low,2721.29,1054.89,103.49,350.59,0.21,1,Helicopter
Short-Range,Passive,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,18682.98,202.04,82.2,193.51,0.17,1,Passenger Aircraft
